slang,formal
dipojokin,dipojokkan
dipuja2,dipuja puja
diputusin,diputuskan
dirimuuu,dirimu
dirmh,dirumah
dirumahny,dirumahnya
disiniii,disini
disni,disini
disono,di sana
disupirin,disopiri
ditayangin,ditayangkan
ditengah2,ditengah tengah
ditutupin,ditutupi
dituutup,ditutup
diuber,dikejar
diurusin,diurusi
dket,dekat
dket2in,dekat dekati
dkit,sedikit
dkk,dan kawan kawan
dkuburnya,dikuburnya
dl,dulu
dlam,dalam
dll,dan lain lain
dlm,dalam
dlu,dulu
dluar,diluar
dmana,dimana
dmn,dimana
dmna,dimana
dn,dan
dng,dengan
dngan,dengan
dngerin,mendengarkan
dngn,dengan
dnk,dong
do,di
doa2,doa doa
doaang,doang
doang,saja
doangam,doang
doank,doang
dodol,bodoh
doeloe,dulu
doi,dia
doku,uang
don juan,playboy
dongg,dong
donggg,dong
dongggg,dong
dongs,dong
donk,dong
donkk,dong
donks,dong
donlot,unduh
donx,dong
doong,dong
doonk,dong
dooong,dong
dosa2mu,dosa dosamu
dosaa,dosa
dosaaaaaaaaaa,dosa
dosax,dosanya
dpke,dipakai
dpn,depan
dposisi,diposisi
dpotong,dipotong
dpt,dapat
dptkan,dapatkan
dptnya,dapatnya
dr,dari
dramaa,drama
dri,dari
drii,dari
drimana,darimana
drimnanya,darimananya
dripada,daripada
dripda,daripada
drmana,darimana
drmn,darimana
drpada,daripada
drpd,daripada
drtd,dari tadi
ds,desa
dsana,disana
dsar,dasar
dsb,dan sebagainya
dsini,disini
dsna,disana
dsni,disini
dsr,dasar
dsrny,dasarnya
dssi,disisi
dst,dan seterusnya
dstu,disitu
dteng,datang
dtg,datang
dtggu,ditunggu
dtgkan,datangkan
dtinggl,ditinggal
dtnggu,ditunggu
dtunggu,ditunggu
dua2nya,dua duanya
duanyaa,duanya
duetin,duet
dugem,dunia gemerlap
duh,aduh
duhh,duh
duhhh,duh
duhhhhh,duh
duit,uang
dulurrr,dulur
duluu,dulu
duluuu,dulu
dumsss,dong
dung,dong
dungu,bodoh
dunk,dong
dureen,duren
duren,durian
durhaka2,durhaka durhaka
duuhh,duh
duuhhh,duh
duuhhhhh,duh
duuuhh,duh
duuuhhh,duh
dwh,deh
dwsa,dewasa
dy,dia
dya,dia
dzolim,zalim
ea,ya
eakyu,waktu
ed,edisi
edaaaan,edan
edaaan,edan
edaaann,edan
edan,gila
edannn,edan
editannn,editan
eeeeh,eh
eeeehhhh,eh
eehhh,eh
eey,eh
ego,emosi
egp,emang gue pikirin
ehh,eh
ehhh,eh
eike,aku
eke,aku
eksprsi,ekspresi
el,si
elaaaahhhh,alah
elahh,alah
elo,kamu
elo,lo
elo2,lo lo
eloo,lo
elu,lu
elu,kamu
elus2,elus elus
ema,emak
emak2,emak emak
emakx,emaknya
emang,memang
emangnya,memangnya
emank,memang
emeessss,gemas
emeezzz,gemas
emeshh,gemas
emesshhh,gemas
emessss,gemas
emg,memang
emk,emak
emng,memang
emngnya,memangnya
emnknya,memangnya
emte,makan teman
en,
enakkkkk,enak
endak,tidak
engga,tidak
"engga""",enggak enggak
enggak,tidak
engk,enggak
enk,enak
entahhh,entah
entar,nanti
entr,entar
envy,iri
epe,apa
etc,et cetera
euyyyyy,euy
ex,mantan
expresi,ekspresi
ext,extension
eyke,aku
fakta2,fakta fakta
faktakta,fakta
fakultass,fakultas
fans,fan
fans2,fan fan
fatanik,fanatik
fav,favorit
favoriteeee,favorit
fax,facsimile
fb,facebook
fhoto,foto
fhotonya,fotonya
fi,di
fifo,first in first out
fightingprogram,semangat
fikiran,pikiran
fillm,film
filmny,filmnya
finek,finansial ekonomi
fitnag,fitnah
flagship,unggulan
flim.a,filmnya
flm,film
folbek,follow back
fotbar,foto bareng
"foto""",foto foto
foto2,foto foto
foto2nya,foto fotonya
fotoin,memfoto
fotony,fotonya
fr,serius
fr asli,
frestasiii,prestasi
fto,foto
fto2,foto foto
fwd,diterukan
fyi,sebagai informasi
g,enggak
ga,tidak
ga,enggak
gaa,enggak
gaada,tidak ada uang
gaada,enggak ada
gabakal,enggak bakal
gabisa,enggak bisa
gabisa,tidak bisa
gada,enggak ada
gadiss,gadis
gag,tidak
gag,enggak
gagahx,gagahnya
gahar,sangar
gaharus,enggak harus
gaje,tidak jelas
gaje,enggak jelas
gajelas,enggak jelas
gak,tidak
gak,enggak
gak papa,tidak apa apa
gakk,enggak
gakkk,enggak
gakpapa,enggak apa apa
gakuat,enggak kuat
gakusah,enggak usah
gakwad,enggak kuat
gamau,enggak mau
gamau,tidak mau
gambarin,gambarkan
gan,juragan
gangguin,mengganggu
gans,ganteng
ganteeeeng,ganteng
ganteng2,ganteng ganteng
gantengbs,ganteng
gantengg,ganteng
gantenggg,ganteng
gantengkuuuuuu,gantengku
gantengnyaaaa,gantengnya
gantengsaya,ganteng
ganteung,ganteng
gantheng,ganteng
ganti'kn,menggantikan
gantiin,menggantikan
gantng,ganteng
gantweng,ganteng
gapake,enggak pakai
gapap,enggak apa apa
gapapa,tidak apa apa
gapernah,enggak pernah
gaprgi,enggak pergi
gaptek,gagap teknologi
gapunya,enggak punya
"gara""",gara gara
gara'',gara gara
gara2,gara gara
garemin,garami
garuk2,garuk garuk
gasalah,enggak salah
gasih,enggak sih
gatau,tidak tahu
gatau,enggak tau
gataunya,enggak taunya
gatek,gagap teknologi
gatot,gagal total
gausa,enggak usah
gausah,enggak usah
gawe,kerja
gawl,gaul
gawul,gaul
gax,tidak
gayannxa,gayanya
gayany,gayanya
gayax,gayanya
gbs,enggak bisa
gbs,tidak bisa
gda,tidak ada uang
gda,enggak ada
gde,gede
gebetan,orang yang disuka
gebleg,geblek
gedeg,gedek
geeelaakk,gila
geer,gede rasa
geetoo,begitu
gegra,gegara
geh,gih
gehh,gih
geje,tidak jelas
gelo,gila
gemay,gemas
gemeeezzzz,gemas
gemeessss,gemas
gemes,gemas
gemesiin,menggemaskan
gemesin,menggemaskan
gemesinnnnn,menggemaskan
gemesnya,gemasnya
gemess,gemas
gemesshh,gemas
gemesshzzzzhzzhzhzhsjssjs,gemas
gemesss,gemas
gemesyak,gemas ya
gemez,gemas
gemezz,gemas
gemezzzz,gemas
gemmeeezzz,gemas
genduut,gendut
geneeee,begini
genggg,geng
genittt,genit
gepeng,gelandangan dan pengemis
gerombol,rombongan
geuliiiiiiis,geulis
gewlaaaaa,gila
gg,enggak
ghiey,lagi
ghiy,lagi
gi,lagi
giitu,begitu
gilaa,gila
gilaaa,gila
gilaaaa,gila
gilaaaaaa,gila
gilak,gila
gilakkk,gila
gilakkkkk,gila
gilakkkkkk,gila
gilagilaan, gila
gile,gila
gils,gila
gilsss,gila
gilzz,gila
giman,gigi mancung
gimana,bagaimana
gimanaa,bagaimana
gimanaaaa,bagaimana
gimn,bagaimana
gimna,bagaimana
ginflasi,inflasi
gingsungny,gingsulnya
gini,begini
ginian,beginian
ginii,begini
giniii,begini
giniin,beginikan
gino,gigi nongol
ginting,ganteng
gitchu,gitu
githu,gitu
giti,begitu
gitu,begitu
gitu2,begitu gitu
gituan,begituan
gituh,begitu
gituin,begitukan
gitulah,begitulah
gituu,begitu
gituuu,begitu
gituuuuu,begitu
gj,tidak jelas
gk,enggak
gk,tidak
gkhianati,mengkhianati
gkk,enggak
gkkan,enggak akan
gksalah,enggak salah
gksi,enggak sih
glembeeeer,gelambir
glowing,sehat
gmana,bagaimana
gmanapun,bagaimanapun
gmau,enggak mau
gmn,bagaimana
gmna,bagaimana
gmpg,gampang
gn,begini
gndakan,gandakan
gni,begini
gnii,begini
gnti,ganti
gnyngka,enggak menyangka
goblog,goblok
goblok,bodoh
goblokkk,goblok
gokiiill,gila
gokil,gila
gokill,gila
gokilll,gila
gokillllll,gila
gokilnya,gilanya
golput,golongan putih
gombal,suka merayu
goncengin,boncengkan
good,bagus
gosipin,menggosipkan
gossip2.an,gosip gosipan
governor,gubernur
gowes,mengayuh sepeda
gpl,tidak pakai lama
gpny,tidak punya
gpp,tidak apa apa
gpp,enggak apa apa
gr,gede rasa
gr2,gara gara
gra2,gara gara
graaatiiiis,gratis
gratiss,gratis
gratisss,gratis
greged,greget
gretong,gratis
gretongan,gratisan
grgr,gara gara
grunya,gurunya
gt,begitu
gtau,tidak tahu
gtau,enggak tau
gthu,begitu
gtkeracunan,racun
gtu,begitu
"gtu""",begitu gitu
"gtu""an",begitu gituan
gtu2,begitu gitu
gtuh,begitu
gtuu,begitu
gtw,enggak tau
gtw,tidak tahu
gua,saya
guaa,gua
guaaaaaaa,gua
guanteng,ganteng
gub,gubernur
gue,saya
guee,gue
gueee,gue
gueeeee,gue
gunaa,guna
guoblok,goblok
guw,gue
guys,teman teman
gw,saya
gw,gue
gws,cepat sembuh
gx,enggak
gya,gaya
ha,tertawa
hadapin,menghadapi
haddeh,aduh
hadeeehhh,aduh
hadeehh,aduh
hadeeuh,aduh
hadeuh,aduh
hadeuuh,aduh
hadeuuhhhh,aduh
hadirr,hadir
hadirrr,hadir
haduh,aduh
haduuuh,aduh
haghaghag,tertawa
haha,tertawa
haii,hai
haiii,hai
hakhak,tertawa
hal2,hal hal
halahh,alah
halangin,halangi
halllo,halo
hallo,halo
hallooo,halo
hallow,halo
halooo,halo
halow,halo
hampasss,hempas
hancurin,menghancurkan
hancuuuuuy,hancur
handak,bahan peledak
hankam,pertahanan dan keamanan
hansip,pertahanan sipil
"happi""",hepi hepi
happy,bahagia
hapusin,hapuskan
haragain,menghargai
hardcore,keras
hargs,harga
hari2,hari hari
haru,harus
hasilnyaaa,hasilnya
haslnya,hasilnya
hat,hati
"hati""",hati hati
hati.a,hatinya
hati2,hati hati
hatii,hati
hatiiii,hati
hay,hai
hayal,khayal
hayalanku,khayalanku
hayooo,hayo
hayukk,hayo
hayuu,hayo
hbis,habis
hbs,habis
hdk,hendak
hdp,hidup
hdpn,hadapan
hdpnya,hidupnya
hdup,hidup
hebaat,hebat
hebatt,hebat
hedeuuhh,aduh
heeee,hai
hehe,he
hehh,eh
heii,hai
helloo,halo
hellooooooo,halo
hellow,halo
helo,halo
helooooo,halo
helow,halo
hematt,hemat
hempaass,hempas
heter,pembenci
heters,pembenci
hey,hai
hgga,hingga
hi,hai
hianatin,khianati
hidiyah,hidayah
hiduppp,hidup
hidupppp,hidup
hidupx,hidupnya
hiduupppp,hidup
hiii,hai
hijaabbb,hijab
hijabb,hijab
hijap,hijab
hilangin,menghilangkan
hilangv,hilang
himana,bagaimana
hiraukn,hiraukan
hiri,hari
hlm,halaman
hlng,hilang
hmpir,hampir
hndak,hendak
hndk,hendak
hngga,hingga
hny,hanya
hnya,hanya
hoaks,bohong
hoax,bohong
hoax,isu bohong
hokiii,hoki
hotak,botak
hotx,hotnya
houm,rumah
hpus,hapus
hr,hari
hri,hari
hrs,harus
hrsny,harusny
hrsnya,harusnya
hrus,harus
hrusnya,harusnya
hslnya,hasilnya
ht,hati
hub,menghubungi
hub,hubungi
hub,hubungan
hubad,hubungan angkatan darat
hubdar,perhubungan darat
hubla,perhubungan laut
hubngan,hubungan
hubunggi,hubungi
huff,mengeluh
huft,mengeluh
hujatann,hujatan
hum,rumah
humas,hubungan masyarakat
humoris,lucu
humz,rumah
hurts,pedih
hy,hai
iaa,iya
iaa,ya
ibliss,iblis
ibu2,ibu ibu
ibuk2,ibu ibu
ibuyg,ibu
idamann,idaman
idk,saya tidak tahu
idolaa,idola
idoolaaa,idola
idung,hidung
idungnya,hidungnya
idup,hidup
idupnya,hidupnya
igtlah,ingatlah
ihh,ih
ihhh,ih
ihhhh,ih
ihhhhh,ih
iih,ih
iihh,ih
iiih,ih
iiihh,ih
iiihhhh,ih
iiihhhhh,ih
iiii,ih
iiiihhhhhj,ih
iiiiiiiii,ih
iiiiiiiiii,ih
ijap,ijab
ikh,ih
ikon,lambang
ikut2,ikut ikut
ikut2an,ikut ikutan
ikutin,ikuti
ikutin,mengikuti
ilang,hilang
"ilang""",hilang hilang
ilang in,hilangkan
ilang2,hilang hilang
ilang2an,hilang hilangan
ilfeel,tidak suka
ilfil,tidak suka
ilmh,ilmu
imba,jago sekali
imho,in my humble opinion
imoet,imut
imoetz,imut
impactnya,manfaat
imut2,imut imut
imutt,imut
imutttttt,imut
imuttzz,imut
imuutt,imut
imuuttt,imut
in,ini
indahhh,indah
indefendet,independen
indo,indonesia
indoneaia,indonesia
indonesiaaa,indonesia
indonesiaah,indonesia
info,informasi
infpyunnnn,ampun
ingeet,ingat
inget,ingat
ingetin,mengingatkan
inggat,ingat
inggrisny,inggrisnya
inghinn,ingin
ingi,ingin
inginkn,inginkan
ingt,ingat
inia,ini
iniehh,ini
inih,ini
inihhh,ini
inii,ini
iniii,ini
iniiiii,ini
iniiiiiiiiiiiiiii,ini
iniw,ini
inni,ini
insom,insomnia
insonniaaa,insomnia
iooo,lo
iq,kecerdasan
iriiiii,iri
irit,hemat
iseng2,iseng iseng
isengin,bercanda
ista,nista
istaa,nista
istimewaaa,istimewa
istiqamah,istikamah
istiqomah,istikamah
istiqomahhh,istikamah
it,itu
item,hitam
ithu,itu
ituh,itu
itumahh,itumah
itung,hitung
itungan,hitungan
ituu,itu
ituuu,itu
ituuuu,itu
ityl,itil
iu,itu
iy,iya
iyaa,iya
iyaaa,iya
iyaaaa,iya
iyaap,iya
iyaappps,iya
iyah,iya
iyak,iya
iyala,iya lah
iyap,iya
iye,iya
iyh,iya
iyha,iya
iyo,iya
iyuh,ih
iyuuhhh,ih
iyuuuhhhh,ih
j,saja
ja,saja
jaaangan,jangan
jaadii,jadi
jablay,jarang dibelai
jadii,jadi
jadiin,jadikan
jadiin,jadi
jadilh,jadilah
jadu,jadi
jadul,jaman dulu
jadulnya,jaman dulunya
jagain,menjaga
jagain,jaga
jahatin,menjahati
jaim,jaga image
jakety,jaketnya
"jalan""nya",jalan jalannya
jalan2,jalan jalan
jalanani,menjalani
jalanin,menjalani
jamam,jaman
jaman2,jaman jaman
jaman2nya,jaman jamannya
jan,jangan
jancuk,anjing
"jangan""",jangan jangan
jangan2,jangan jangan
janjinyaa,janji
janjutin,lanjutkan
janka,jangka
jaoooh,jauh
jari2,jari jari
jatoh,jatuh
jatuhnyaa,jatuhnya
jauhh,jauh
jauhhh,jauh
jauhin,jauhi
jauuhhh,jauh
jawabanny,jawabannya
jayus,tidak lucu
jd,jadi
jd'y,jadinya
jdi,jadi
jdii,jadi
jdikan,jadikan
jdulnya,judulnya
jdwl,jadwal
"jelas""",jelas jelas
jelas2,jelas jelas
jelase,jelas
jelashh,jelas
jelasssss,jelas
"jelek""in",menjelek jelekkan
jelek2,jelek jelek
jelekin,menjelekkan
jelex,jelek
jels,jelas
jem,jam
jendes,janda
jendess,janda
jendesss,janda
jendral,jenderal
jeniuss,jenius
jentelmen,berani
jerewi,jerawat
jg,juga
jga,juga
jgan,jangan
jgk,juga
jgn,jangan
jgn2,jangan jangan
jgnkan,jangankan
jh,saja
jidad,jidat
jijay,jijik
jilbabny,jilbabnya
jilbabnyaah,jilbabnya
jilbabnye,jilbabnya
jilbb,jilbab
jing,anjing
jir,anjing
jirr,anjir
jirrrr,anjir
jisss,haduh
jjur,jujur
jk,jika
jkrta,jakarta
jkt,jakarta
jkwi,jokowi
jlbb,jilbab
jlek,jelek
jln,jalan
jln2,jalan jalan
jls2,jelas jelas
jmnya,jamnya
jmpaaaa,jumpa
jnagn,jangan
jnda,janda
jng,jangan
jngan,jangan
jngn,jangan
jngnn,jangan
jnj,janji
jodohny,jodohnya
jodohx,jodohnya
jogetin,berjoget
jomblo,tidak punya pacar
jombsss,jomblo
jorokkkk,jorok
jorookknya,joroknya
joz top markotop,bagus banget
jrang,jarang
jrnk,jarang
jt,juta
jth,jatuh
jubir,juru bicara
judulnyaa,judulnya
jugaa,juga
jugaaa,juga
jugaakk,juga
jugak,juga
jungkiir,jungkir
jurdil,jujur adil
justeru,justru
jutek,galak
jwab,jawab
jwb,jawab
jwban,jawaban
k,ke
k,kak
k',kak
ka,kakak
ka,kak
kaa,kak
kaaa,kak
kaaaa,kak
kaaaaa,kak
kaaaaaaaaaakkkkkkkkkkk,kak
kaaaaaann,kan
kaaakk,kak
kaaan,kan
kaak,kak
kaakaaaa,kakak
kaakk,kak
kaan,kan
kaannnn,kan
kaasian,kasihan
kab,kabupaten
kabag,kepala bagian
kabor,kabur
kacauuuu,kacau
kacian,kasihan
kaciiaann,kasihan
kacrut,kacau
kadit,kepala direktorat
kadiv,kepala divisi
kafeh,kafe
kaga,kagak
kaga,tidak
kagak,tidak
kageeet,kaget
kageet,kaget
kaitannha,kaitannya
kaj,kak
kaka,kakak
kakakaaaaaaaaaaaaaa,kakak
kakakgh,kakak
kakakkk,kakak
kakakny,kakaknya
kakakuuu,kakakku
kakanga,kakaknya
kakanya,kakaknya
kakau,kalau
kakk,kak
kakk,kakak
kakkk,kak
kakkkk,kak
kakkkkk,kak
kalahnye,kalahnya
kale,kali
kaleee,kali
kaliaan,kalian
kaliann,kalian
kaliannn,kalian
kaliannnnnm,kalian
kaliannnnnn,kalian
kaliannnnnnn,kalian
kalii,kali
kaliii,kali
kaliiii,kali
kaliiiiiii,kali
kaliiin,kalian
kalik,kali
kalli,kali
kallo,kalo
kalo,kalau
kalogak,kalo enggak
kalok,kalo
kaloo,kalo
kalu,kalau
kalw,kalau
kam,kamu
kamiiii,kami
kamo,kamu
kampret,sialan
kampungn,kampungan
kamtib,keamanan dan ketertiban
kamtibmas,keamanan dan ketertiban masyarakat
kamu2,kamu kamu
kamuh,kamu
kamunyaa,kamunya
kamuu,kamu
kamuuuu,kamu
kamuwh,kamu
kamyu,kamu
kamyuhhh,kamu
kana,kanan
kanapa,kenapa
kancang,kencang
kangeeeeeeeeeeennnnn,kangen
kangeeeeeeeeennnnnnnn,kangen
kangeeeeeeeenya,kangen
kangeeeeennn,kangen
kangeeeennn,kangen
kangeeeennnnn,kangen
kangeeerrn,kangen
kangeen,kangen
kangeenn,kangen
kangem,kangen
kangenn,kangen
kangennn,kangen
kangennnn,kangen
kangennnnn,kangen
kangennnnnmnnnnnnnnnnnnnnnnn,kangen
kangennnnnn,kangen
kangennnnnnn,kangen
kangennnnnnnnnnnnnnnn,kangen
kanggen,kangen
kanggggg,kang
kann,kan
kannn,kan
kanwil,kantor wilayah
kapaan,kapan
kapan2,kapan kapan
kapn,kapan
kapt,kapten
kareno,karena
karir.a,karirnya
karmaaa,karma
karna,karena
kartunin,kartun
"karya""",karya karya
karya2,karya karya
kasar2,kasar kasar
kasat,kepala satuan
kasi,kasih
kasiaannn,kasihan
kasian,kasihan
kasiannn,kasihan
kasiatnya,khasiatnya
kasihn,kasihan
kasiian,kasihan
kasubbag,kepala subbagian
kasubbid,kepala subbidang
"kata""",kata kata
kata2,kata kata
kata2nya,kata katanya
kata2nyaaa,kata katanya
katanyaa,katanya
kate,kata
katrok,kampungan
kau,kamu
kauuuu,kau
kawinin,mengawini
kaya,kayak
kaya'a,kayanya
kayaa,kaya
kayahhh,kaya
kayakk,kayak
kayanya,kayaknya
kayanye,kayanya
kayaq,kayak
kayax,kayak
kbahagiaan,kebahagiaan
kbar,kabar
kbawa,terbawa
kberkahn,keberkahan
kbetulan,kebetulan
kbiasaan,kebiasaan
kbr,kabar
kcantikan,kecantikan
kcewa,kecewa
kcian,kasihan
kcil,kecil
kcwa,kecewa
kdang,kadang
kdg,kadang
kdg2,kadang kadang
kdng,kadang
kdu,harus
kdua,kedua
keak,kayak
kebagi,terbagi
"kebaikan""y",kebaikannya
kebalas,terbalas
kebangetak,kebangetan
kebanggan,kebanggaan
kebarat2an,kebarat baratan
kebawa,terbawa
kebayang,terbayang
kebayanyaa,kebayanya
keberpa,keberapa
kebnyak'an,kebanyakan
kebongkar,terbongkar
kebukaaa,terbuka
kebukti,terbukti
keburu,terlanjur
kebykan,kebanyakan
kec,kecamatan
kecantikanga,kecantikannya
kece2,kece kece
keceee,kece
keche,kece
keciil,kecil
keciill,kecil
kecik,kecil
"kecil""",kecil kecil
kecover,tutup
kecptan,kecepatan
kecr,kece
kedengeran,kedengaran
kedokk,kedok
kedpan,kedepan
keduaa,kedua
kedubes,kedutaan besar
keedaannya,keadaannya
keee,ke
keeeeeren,keren
keeeerrrreeeennnnnnnnn,keren
keinget,teringat
kejadianny,kejadiannya
kejahatn,kejahatan
kejawab,terjawab
kejurnas,kejuaraan nasional
kejuu,keju
kek,seperti
kek,kayak
kekeuh,keras kepala
kekgini,kayak begini
kekk,kayak
keknya,kayaknya
kekuranganny,kekurangannya
kel,kelurahan
kel,keluarga
kelahuran,kelahiran
kelaluan,kelakuan
kelas'a,kelasnya
keles,kali
keliatan,kelihatan
keliatannya,kelihatannya
kellen,kalian
keluarin,mengeluarkan
keluarin,keluarkan
kelus,kali
kemakan,termakan
kemaren,kemarin
kemariin,kemarin
kemarn,kemarin
kembaq,kembar
kemn,kemana
kemuh,kamu
kenaliiin,kenalkan
kenalin,mengenalkan
kenalin,kenalkan
kenalin,memperkenalkan
kenapaa,kenapa
kenape,kenapa
kenceng,kencang
kencng,kencang
kencqng,kencang
keneh,masih
kentot,senggama
kenyataan2,kenyataan kenyataan
kepad,kepada
kepd,kepada
kepda,kepada
kepeleset,kepleset
kepelesett,terpeleset
kepengen,mau
kepikir,terpikir
kepikiran,terpikirkan
kepingin,mau
kepingin,pengin
kepo,mau tahu urusan orang
kepoh,kepo
kepoin,kepo
kepoin,mengepoi
kepoin,kepoi
kepppoin,kepoi
kepsek,kepala sekolah
keputihn,keputihan
keq,kek
keq,kayak
kerasin,kerasi
kerass,keras
kere,tidak punya uang
kereeeeen,keren
kereeeeennn,keren
kereeeeennnn,keren
kereeeen,keren
kereeen,keren
kereeennnn,keren
kereen,keren
kereenn,keren
kereennn,keren
"keren""",keren keren
keren2,keren keren
kerenn,keren
kerennn,keren
kerennnn,keren
kerennnnn,keren
kerjaan,pekerjaan
kerreeen,keren
kerrennn,keren
kerrrrennnn,keren
kesalahanny,kesalahannya
kesampean,kesampaian
kesbang,kesatuan bangsa
kesetaraanmbg,setara
kesian,kasihan
kesinii,kesini
kesiniii,kesini
kesra,kesejahteraan rakyat
ketaatanny,ketaatannya
ketara,tertara
ketarik,tertarik
ketauan,ketahuan
ketawaa,ketawa
ketawain,mentertawakan
ketawakkkk,ketawa
ketemuuu,ketemu
ketipu,tertipu
ketrima,diterima
ketuker,tertukar
keukeuh,keras kepala
kgak,kagak
kgeeeen,kangen
kgiatan,kegiatan
kgn,kangen
kh,kah
kha,kah
khadiran,kehadiran
khadirannya,kehadirannya
khan,kan
kharismanya,karismanya
khdpn,kehidupan
khidupan,kehidupan
kibul,bohong
kibus,kaki busuk
kimpoi,kawin
kira2,kira kira
kirain,mengira
kiriii,kiri
kirimin,mengirimi
kitaa,kita
kitaaa,kita
kite,kita
kiya,kita
kk,kakak
kka,kakak
kkak,kakak
kki,kaki
kklau,kalau
kl,kalo
kl,kalau
klahiran,kelahiran
klaim,pengakuan
klakuan,kelakuan
klas,kelas
klau,kalau
klauu,kalau
klen,kalian
klepek2,klepek klepek
klg,keluarga
klhran,kelahiran
kli,kali
klian,kalian
klianz,kalian
kliatan,kelihatan
kliatanya,kelihatannya
klihatan,kelihatan
klk,kelak
klkuan,kelakuan
kll,kalo
klmbutan,kelembutan
kln,kalian
klo,kalo
klo,kalau
klok,kalo
kloop,klop
kloter,kelompok terbang
klow,kalau
klrga,keluarga
klu,kalau
kluar,keluar
kluarga,keluarga
klw,kalau
klwrga,keluarga
km,kamu
km,kami
kmana,kemana
kmana2,kemana mana
kmar,kamar
kmaren,kemarin
kmari,kemari
kmariiin,kemarin
kmarin,kemarin
kmauan,kemauan
kmbali,kembali
kmbang,kembang
kmbl,kembali
kmewahan,kemewahan
kmi,kami
kmn,kemana
kmps,kampus
kmpus,kampus
kmren,kemarin
kmrin,kemarin
kmrm,kemeramen
kmrn,kemarin
kmu,kamu
kn,kan
knal,kenal
knan,kanan
kndung,kandung
kngen,kangen
kngenn,kangen
kngn,kangen
knl,kenal
knlan,kenalan
knp,kenapa
knpa,kenapa
knpp,kenapa
knsul,konsultasi
knyataan,kenyataan
ko,kok
koar,teriak
kobul,kabul
kocaaaak,kocak
kocaaaakkk,kocak
kocakkk,kocak
kocakkkkkk,kocak
kocakkkkkkkkkkkkkk,kocak
koclak,kocak
kodya,kota madya
kog,kok
kokkk,kok
kokohh,engkoh
komdis,komisi disiplin
komen2,komen komen
komen2an,komen komenan
komenan,komentar
komenannya,komentarnya
koment,komentar
komentar2,komentar komentar
komentarin,komentari
komentarin,mengomentari
komentnya,komentarnya
komenx,komennya
komntr,komentar
kompi,komputer
komsov,komunis sovyet
komtiong,komunis Tiongkok
komuk,muka
komun,komunitas
komunitas2,komunitas komunitas
kongkow,kumpul bareng teman teman
konjen,konsulat jenderal
konsekwensi,konsekuensi
konsul,konsultasi
kontak2,kontak kontak
konten2,konten konten
kopdar,kopi darat
koplak,kocak
koplakkk,koplak
koq,kok
korek2,korek korek
korup,korupsi
kostom,kostum
kowe,kamu
kox,kok
kpada,kepada
kpan,kapan
kpancing,terpancing
kpd,kepada
kpleset,kepleset
kpn,kapan
kpn2,kapan kapan
kpnpun,kapanpun
kptsan,keputusan
kpuasan,kepuasan
kq,kok
kqmu,kamu
kr,kira
kra,kira
kraya,karya
kreative,kreatif
kreean,keren
kreeenn,keren
kreen,keren
kren,keren
krena,karena
krenn,keren
krenz,keren
kri,kiri
krik,garing
krim,kirim
kriput,keriput
krjaan,pekerjaan
krm,kirim
krmh,ke rumah
krn,karena
krn,karna
krna,karena
krng,kurang
krpoooo,kepo
krudung,kerudung
krudungan,kerudungan
krus,kurus
krya,karya
ksenangan,kesenangan
ksh,kasih
ksih,kasih
ksini,kesini
ksitu,kesitu
kslahan,kesalahan
kslhn,kesalahan
ksni,kesini
ksukaanmuuu,kesukaanmu
ksyngn,kesayangan
kt,kita
kt2,kata kata
kta,kata
kta,kita
ktaa,kita
ktaatan,ketaatan
ktanya,katanya
ktauan,ketahuan
ktawa,ketawa
ktemu,ketemu
ktergantungan,ketergantungan
ktg,kita
ktika,ketika
ktipu,tipu
ktmu,ketemu
ktny,katanya
ktnya,katanya
ktr,kantor
ktwa,ketawa
kuaaatt,kuat
kuatttt,kuat
kubarikan,kuberikan
kucing'y,kucingnya
kudu,harus
kueren2,keren keren
kuliyh,kuliah
kuninggg,kuning
kuningggg,kuning
kunjungin,kunjungi
kuper,kurang pergaulan
kuq,kok
kura2,kura kura
kurangin,kurangi
kureeeen,keren
kurng,kurang
kusem,kusam
kususnya,khususnya
kutuu,kutu
kuu,ku
kuy,yuk
kuyy,yuk
kuyyy,yuk
kw,kau
