slang,formal
kw,imitasi
kwatir,kawatir
kx,kak
ky,seperti
ky,kaya
kya,kaya
kyak,kayak
kyaknya,kayaknya
kyanya,kayanya
kyax,kayak
kyk,kayak
kyk,seperti
kyk.a,kayaknya
kykny,kayanya
kyknya,kayaknya
kyy,kaya
la,lah
laa,lah
laaaah,lah
ladenin,meladeni
laen,lain
laenny,lainnya
lafazd,lafaz
lagihh,lagi
lagii,lagi
lagiii,lagi
lagiiii,lagi
laginy,laginya
lagu'y,lagunya
lagu2,lagu lagu
lagu2nya,lagu lagunya
lahh,lah
lahhh,lah
lahhhhhh,lah
lahirr,lahir
lainnn,lain
lainnyaa,lainnya
lairannya,kelahirannya
laka,kecelakaan
"laki""",laki laki
laki2,laki laki
lakik,laki
"laku""",laku laku
lakuin,melakukan
lam,salam
lama2,lama lama
lambreta,lambat
lamp,lampiran
lancr,lancar
langgengggg,langgeng
langgenh,langgeng
lanjutin,lanjutkan
lanjutkaaaaan,lanjutkan
lansia,lanjut usia
lanud,landasan udara
lapakk,lapak
lapas,lembaga pemasyarakatan
latgab,latihan gabungan
latian,latihan
lau,kau
lawaaaas,lawas
lbh,lebih
lbih,lebih
lbihh,lebih
lbur,libur
lcu,lucu
le,boleh
lebar2,lebar lebar
lebay,berlebihan
lebayy,lebay
lebh,lebih
ledekin,ledeki
ledkin,meledeki
leh,boleh
lekong,laki
lekong,laki laki
lelet,lambat
lemot,lambat
lemot,lambat berfikir
lemot,lemah otak
lengkapp,lengkap
lengkeeett,lengket
lenje,lenjeh
lepasin,melepas
less,kurang
level dewa,luar biasa
lg,lagi
lggeng,langgeng
lggi,lagi
lgi,lagi
lgkah2,langkah langkah
lgkp,lengkap
lgs,langsung
lgsg,langsung
lgsung,langsung
lgu,lagu
lgunya,lagunya
lh,lah
lh,boleh
lha,lah
lhat,lihat
lhir,lahir
lhirr,lahir
lhoo,loh
lhooo,loh
lht,lihat
liaat,lihat
liaatt,lihat
liad,lihat
liat,lihat
liat'y,lihatnya
liat2,lihat lihat
liatiii,lihat
liatin,memperlihatkan
liatin,perlihatkan
liatlah,lihatlah
liatnya,lihatnya
liatnyaaa,lihatnya
liatt,lihat
liattt,lihat
light,terang
lihaat,lihat
lihaatttt,lihat
liht,lihat
linmas,perlindungan masyarakat
lipetan,lipatan
liptsk,lipstik
litbang,penelitian dan pengembangan
liyat,lihat
liyatnya,lihatnya
lkuin,lakukan
llki,lelaki
lluu,lu
lluuccuu,lucu
lma,lama
lmyan,lumayan
lmyn,lumayan
lngkp,lengkap
lngsing,langsing
lngsung,langsung
lo,kamu
loch,loh
loe,kamu
loe,lo
lohh,lo
lohh,loh
lohhh,loh
lohhhh,loh
loksyut,lokasi syuting
lol,tertawa
lola,lambat berfikir
lom,belum
loncatt,loncat
loncattt,loncat
loo,lo
loo,loh
looh,loh
loohhh,loh
looo,loh
loooh,loh
looohh,loh
louph,cinta
loupz,cinta
low,kalau
lowh,kamu
lp,lupa
lsg,langsung
lt,lantai
lu,kamu
luaarrr,luar
luber,"langsung, umum, bebas, dan rahasia"
luccu,lucu
luchu,lucu
luchuw,lucu
luco,lucu
lucu2,lucu lucu
lucuk,lucu
lucukkkkk,lucu
lucunaaa,lucunya
lucunyah,lucunya
lucuu,lucu
lucuukk,lucu
lucuuu,lucu
lucuuuk,lucu
lucuuuu,lucu
lucuuuuu,lucu
lucuuuuuuuu,lucu
lucuuuuuuuuuu,lucu
lucux,lucunya
luff,cinta
luh,lu
luhhh,lu
lum,belum
lupain,melupakan
luph,cinta
lurusin,meluruskan
luthu,lucu
luthuna,lucunya
lutu,lucu
lutuna,lucunya
lutunaa,lucunya
lutunaaa,lucunya
luu,lu
luucuuu,lucu
luuuaar,luar
luuuucuuu,lucu
lw,kalau
lw,lu
lw,kamu
lwn,lawan
lwt,lewat
lyt,lihat
m,sama
ma,sama
maaasss,mas
maacih,terima kasih
maaciw,terima kasih
maafin,memaafi
maak,mak
maap,maaf
maapin,maaf
maapin,maafi
maau,mau
maauuu,mau
me, mau
mabal,bolos
mabes,markas besar
macam2,macam macam
macem,macam
macem macem,macam macam
macem2,macam macam
macih,masih
madesu,masa depan suram
maem,makan
maen,main
maenya,mainnya
magabut,makan gaji buta
mahall,mahal
mahatma,maju sehat bersama
mahh,mah
mahhhh,mah
maho,manusia homo
maho,homo
mai,mau
main2,main main
majuuu,maju
mak,ibu
mak jang,kaget
makany,makanya
makanyaa,makanya
makasi,terima kasih
makasih,terima kasih
make,memakai
"maki""",maki maki
makkk,mak
makny,maknya
maksain,memaksa
maksain,memaksakan
maksd,maksud
maksih,terima kasih
maksir,menaksir
maksutku,maksudku
malah,bahkan
malangg,malang
malem,malam
males,malas
malh,malah
malingg,maling
malsudnya,maksudnya
malu2in,memalukan
malu2in,malu malui
maluu,malu
maluuu,malu
maluuuu,malu
mam,makan
mama.nyy,mamanya
mamas,mas
mamax,mamanya
mamer,memamerkan
mampuussss,mampus
mampuuu,mampu
mamz,makan
mancing2,memancing mancing
mancungin,memancungkan
mandiin,memandikan
maneh,kamu
manen,panen
mang,memang
manggil,panggil
manies,manis
maniez,manis
manisnyaaaa,manisnya
manisss,manis
manjain,memanjakan
mansetan,bermanset
mansyoallah,masyaallah
manta,mantan
mantaaap,mantap
mantaap,mantap
mantabb,mantab
mantabs,mantab
mantabss bagus,
mantaff,mantap
mantanny,mantannya
mantapp,mantap
mantappp,mantap
mantapppppp,mantap
manteb,mantap
manteep,mantap
mantep,mantap
mantepp,mantap
manteppp,mantap
mantes,memantas
manusiy,manusia
mao,mau
marah2,marah marah
marah2an,marah marahan
marh,marah
markus,makelar kasus
martabakk,martabak
masa2,masa masa
masaaaa,masa
masalahh,masalah
masi,masih
"masing""",masing masing
masing2,masih
masing2,masing masing
masio,masih
maslah,masalah
maso,masa
massss,mas
masukin,memasuki
masukin,memasukkan
masukin,masukkan
masy,masyarakat
masyaallahhh,masyaallah
masyarakay,masyarakat
mata'y,matanya
matany,matanya
mataq,mataku
mateeeeeeeeeeee,mati
mateeeek,mati
"mati""an",mati matian
matii,mati
mato,mata
mattihhh,mati
mauu,mau
mauuu,mau
mauuuu,mau
mauuuuu,mau
mauuuuuu,mau
mauuuuuuu,mau
maw,mau
may,mau
mayan,lumayan
mayann,lumayan
maybe,mungkin
mb,mbak
mba,mbak
"mba""",mbak mbak
mbaa,mbak
mbaaa,mbak
mbaaahhh,mbah
mbaaass,mbak
mbaak,mbak
mbaakk,mbak
mbabibuta,ceroboh
mbahh,mbah
"mbak""",mbak mbak
mbak2,mbak mbak
mbaknyaahh,mbaknya
mbakx,mbaknya
mbanya,mbaknya
mbaur,baur
mbil,sambil
mbk,mbak
mblo,jomblo
mblooo,jomblo
mboizzz,bois
mbual,bual
mbual,membual
mbuh,embuh
mcm,macam
"mdh""",mudah mudah
mdh2an,mudah mudahan
mdh2n,mudah mudahan
megang,memegang
mehoonggggg,mahal
meker,mikir
melahirin,melahirkan
melakukn,melakukan
melebihin,melebihi
melihara,memelihara
melu,ikut
meluk,memeluk
mem,beda
"membanding""",membanding banding
memilahmilah,pilih
memilihmilih,pilih
menasehati,menasihati
menbelah,membelah
mendam,memendam
mendapatkn,mendapatkan
mending,lebih baik
mendj,menjadi
menegerti,mengerti
mengait2kan,mengait ngaitkan
mengalahkn,mengalahkan
mengherthii,mengerti
menghilangkn,menghilangkan
mengikutii,mengikuti
mengirusi,mengurusi
mengncang,mengencang
mengperbolehkan,memperbolehkan
menjdi,menjadi
menjelekan,menjelekkan
menolak,tolak
mensuksekan,sukses
"mentah""",mentah mentah
"mentang""",mentang mentang
menurur,menurut
menyamaratakan,rata
menyebut2,menyebut nyebut
menyenangkn,menyenangkan
mepet,dekat sekali
meranin,memerankan
mereka2,mereka mereka
merekaa,mereka
merekaaaa,mereka
merekak,mereka
meriahh,meriah
merindinggg,merinding
merka,mereka
merrid,merit
mesrany,mesranya
met,selamat
mf,maaf
mff,maaf
mg,moga
mgk,mungkin
mgkin,mungkin
mgkn,mungkin
mgu,minggu
mh,mah
mhn,mohon
miara,memiara
miker,minuman keras
mikir2,memikir mikir
mikirin,memikirkan
mikirinnn,memikirkan
mikol,minuman beralkohol
milih,memilih
milikin,memiliki
milis,mailing list
mimin,admin
mimpiii,mimpi
minpi,mimpi
minta,meminta
mintk,minta
"minyak""an",minyak minyakan
miras,minuman keras
miriiiiip,mirip
miriiiip,mirip
miriiippp,mirip
miriip,mirip
miring2,miring miring
miriplahhhhhh,miriplah
miripp,mirip
mirippp,mirip
miripppp,mirip
mirp,mirip
mitnah,memfitnah
mk,maka
mk.a,makanya
mkanya,makanya
mkin,makin
mkir,memikir
mkn,makin
mknya,makanya
mksd,maksud
mksdku,maksudku
mksdny,maksudnya
mksdnya,maksudnya
mksdx,maksudnya
mksh,terima kasih
mksih,terima kasih
mkst,maksud
mksud,maksud
mlah,malah
mlepaskan,melepaskan
mlh,malah
mlikk,milik
mlm,malam
mls,malas
mlt.a,mulutnya
mlu,malu
mlu,melulu
mlz,malas
mmang,memang
mmbanggakan,membanggakan
mmbela,membela
mmberi,memberi
mmberikan,memberikan
mmberikn,memberikan
mmbodohkan,membodohkan
mmg,memang
mmperbaiki,memperbaiki
mmz,mas
mn,mana
mna,mana
mnambh,menambah
mncoba,mencoba
mndaptkan,mendapatkan
mnding,mending
mndpat,mendapat
mndpt,mendapat
mndukung,mendukung
mnerima,menerima
mngasi,mengasih
mngerti,mengerti
mnghina,menghina
mngikuti,mengikuti
mngira,mengira
mngkannya,mangkanya
mngkin,mungkin
mngkn,mungkin
mnilai,menilai
mnipu,tipu
mnis2nya,manis manisnya
mnisss,manis
mnjadi,menjadi
mnjawab,menjawab
mnjdi,menjadi
mnjdkan,menjadikan
mnjijikaaaaaan,menjijikkan
mnjmput,menjemput
mnjual,menjual
mnolak,tolak
mnrtkuu,menurutku
mnt,minta
mnta,minta
mntn,mantan
mnusuk,menusuk
mnutup,menutup
mo,mau
modar,mati
model2,model model
modes,modis
moge,motor gede
mohom,mohon
mokad,mati
mokat,mati
moqa,moga
moso,masa
mosok,masa
most,paling
motret,memotret
mpe,sampai
mrah,marah
mrangkul,merangkul
mreka,mereka
mrekaa,mereka
mrekaaaa,mereka
mrip,mirip
mrit,merit
mrk,mereka
mrka,mereka
mrnghadapi,menghadapi
mrusak,merusak
ms,masih
"ms""",masa masa
msa,masa
msalah,masalah
msg2,masing masing
msh,masih
msih,masih
msk,masuk
mskasih,terima kasih
msknya,masaknya
mskpn,meskipun
mslh,masalah
mslhnya,masalahnya
msng2,masing masing
mst,mesti
msuk,masuk
mt,makan teman
mtanya,matanya
mti,mati
muahal,mahal
mualll,mual
muantaap,mantap
muantteepp,mantap
mubes,musyawarah besar
mudaa,muda
"mudah""an",mudah mudahan
"mudah""n",mudah mudahan
mudah2,mudah mudah
mudah2an,mudah mudahan
mudah2n,mudah mudahan
"mudh""an",mudah mudahan
muga,moga
"muka""",muka muka
muka2,muka muka
mukae,mukanya
mukanyaa,mukanya
mukax,mukanya
muke,muka
muker,musyawarah kerja
muliany,mulianya
mulu,melulu
mulusssss,mulus
mulut2,mulut mulut
mulutny,mulutnya
mulutnyaaa,mulutnya
muluuu,melulu
mumet,pusing
mumpung,selagi
muna,munafik
munaafikk,munafik
munafikk,munafik
munas,musyawarah nasional
munaslub,musyawarah nasional luar biasa
munfik,munafik
mungki,mungkin
mungkiin,mungkin
muntaber,muntah dan berak
mupeng,muka pengin
muraaaaah,murah
murahhh,murah
murhan,murahan
murmer,murah meriah
musda,musyawarah daerah
musti,mesti
mutihin,memutihkan
mutuain,memutuskan
mutusin,memutuskan
muup,maaf
muupz,maaf
muuuu,mu
muuv,maaf
mw,now watching
mw,mau
mz,mas
n,dan
na,nya
naaaa,nya
naaaaahh,nah
naaaak,nak
naaahhh,nah
naas,nahas
naek,naik
nafass,nafas
nafkahin,menafkahi
naggung,menanggung
nagiss,menangis
nahan,menahan
nahannnn,tahan
nahh,nah
nahhh,nah
najiss,najis
naka,nakal
naksir,menaksir
nakutin,menakutkan
nal,kenal
"nama""",nama nama
nama'in,namai
nama.a,namanya
namain,namai
namain,menamai
namany,namanya
namax,namanya
nambah,menambah
nambah,bertambah
nambahh,bertambah
namnya,namanya
nampak,menampak
nampar,menampar
nanam,menanam
nanget,banget
nanggepin,menanggapi
nangiiiiis,menangis
nangiiis,menangis
nangiis,menangis
nangis,menangis
"nangis""",menangis nangis
nangiss,menangis
nangisss,menangis
nantangin,menantang
nantii,nanti
nantiii,nanti
nantik,nanti
nanya,bertanya
nanya,tanya
naon,apa
napa,kenapa
napi,narapidana
napol,narapidana politik
napsuu,napsu
napza,"narkotika, alkohol, psikotropika, dan zat adiktif "
naq,anak
nari,menari
narik,menarik
narkoba,"narkotika, psikotropika, dan obat terlarang"
narsis,bangga pada diri sendiri
nasehatin,menasihati
nasgor,nasi goreng
natap,menatap
naturalllll,natural
nawarin,menawari
nax,anak
ncek,encek
nd,indak
nda,indak
nda,tidak
ndas, kepala
ndak,indak
ndak,tidak
ndiri,sendiri
ndukung,mendukung
ndut,gendut
ne,ini
nee,ini
negri,negeri
neh,nih
neko2,neko neko
nekolim,neokolonialisme
nekolin,neokolonialisme
nelfon,menelepon
nembak,menyatakan cinta
nembak,menembak
nempel,menempel
nemuin,menemukan
"nenek""",nenek nenek
nenek2,nenek nenek
nengok,menengok
nentuin,menentukan
nerawang,menerawang
nerima,menerima
nerusin,meneruskan
netaas,menetas
netes,menetes
next,lanjut
ngabis2in,menghabiskan
ngabuburit,menunggu berbuka puasa
ngaca,mengaca
ngacaaa,mengaca
ngaco,mengaco
ngadain,mengadakan
ngademin,mengademkan
ngadu,mengadu
ngajak,mengajak
ngajar,mengajar
ngajarin,mengajari
ngaji,mengaji
ngajuin,mengajukan
ngak,enggak
ngakaaaakkk,mengakak
ngakak,mengakak
ngakak,tertawa
ngakakkk,mengakak
ngaku,mengaku
"ngaku""",mengaku ngaku
ngalah,mengalah
ngalahin,mengalahkan
ngalir,mengalir
ngalirrrrr,mengalir
ngamatin,mengamati
ngambek,marah
ngambek,mengambek
ngambekan,ambekan
ngambeknya,mengambeknya
ngambil,mengambil
ngampus,pergi ke kampus
nganbek,mengambek
nganggepin,menanggapi
nganggur,tidak punya pekerjaan
ngantar,mengantar
nganteng,ganteng
nganterin,mengantarkan
ngantri,mengantri
ngapah,kenapa
ngapain,mengapai
ngapain,sedang apa
ngapain,mengapa
ngapasih,mengapa sih
ngapus,menghapus
ngarang,mengarang
ngarep,mengharap
ngareppppp,mengharap
ngaret,terlambat
ngarsipin,mengarsipkan
ngaruh,berpengaruh
ngasi,mengasih
ngasih,memberikan
ngasih,mengasih
ngasih2,mengasih ngasih
ngata2in,mengatai ngatai
ngata2in,mengata ngatai
ngatai,mengatai
ngatain,mengatai
ngatur,mengatur
ngawur,berbicara sembarangan
ngayal,mengkhayal
ngcpin,mengucapkan
ngebala,bala
ngebales,membalas
ngebandel,berbuat bandel
ngebantu,membantu
ngebedain,membedakan
ngebela,membela
ngebelain,membela
ngebenci,membenci
ngebiarin,membiarkan
ngebolehin,membolehkan
ngebuktiin,membuktikan
ngebully,intimidasi
ngecek,mengecek
ngeceng,kumpul bareng bareng
nged,banget
ngeditnya,mengeditnya
ngedukung,mendukung
ngefans,fan
ngegampar,menggampar
ngegantiin,menggantikan
ngegemesin,menggemaskan
ngegmesin,menggemaskan
ngegosip,bergosip
ngeh,engah
ngeh,sadar
ngehakimi,menghakimi
ngehancurin,menghancurkan
ngehe,kesal
ngehina,menghina
ngehujat,menghujat
ngeidealin,mengidealkan
ngejatuhin,manjatuhkan
ngejelek,menjelekkan
ngejelek2in,menjelek jelekkan
ngejilat,menjilat
ngejuangin,memperjuangkan
ngekeh,kekeh
ngekek,mengekek
ngeklaim,mengklaim
ngekos,tinggal di kos
ngeksis,menjadi eksis
ngelahirin,melahirkan
ngelakuin,melakukan
ngelamar,melamar
ngelaporin,melaporkan
ngelarang,melarang
ngelawak,melawak
ngelawan,melawan
ngeles,berkilah
ngelewati,melewati
ngeliat,melihat
ngeliatin,melihati
ngeliatnya,melihatnya
ngelidur,menggigau
ngelihat,melihat
ngelihatnya,melihatnya
ngeluarin,mengeluarkan
ngelucu,melucu
ngembali,kembali
ngemeng,mengomong
ngemeng,bicara terus terusan
ngentot,senggama
ngentotin,senggama
ngepake',memakai
ngepoin,mengepoi
ngerampas,merampas
ngerampok,merampok
ngerasa,merasa
ngerasain,merasai
ngerayain,merayakan
ngerebut,merebut
"ngerebut""",merebut rebut
ngerendahin,merendahkan
ngerespon,merespons
ngeri,seram
ngeri2,ngeri ngeri
ngerii,ngeri
ngeriiiiii,ngeri
ngerrrriiii,ngeri
ngerti,mengerti
ngertii,mengerti
ngertiin,mengerti
ngerussak,merusak
ngeselin,mengesalkan
nget,banget
ngetik,mengetik
ngets,banget
ngetsz,banget
ngettt,banget
ngeuh,engah
ngfans,fan
ngg,enggak
ngga,tidak
nggak,tidak
nggak,enggak
nggali,menggali
nggeh,engah
ngggk,enggak
nggk,enggak
ngibul,berbohong
ngidam,mengidam
ngikut,ikut
ngikutin,mengikuti
ngilang,menghilang
ngilangin,menghilangkan
ngiler,mau
ngilerrrr,mengiler
ngimpi,mimpi
nginep,menginap
ngingetin,mengingatkan
nginjek,menginjak
ngintilin,mengintil
ngintip,mengintip
ngiri,iri
ngiri,mengiri
ngiriii,mengiri
ngirim,mengirim
ngiringan,mengiringi
ngiritya,mengiritnya
ngisi,mengisi
ngisiin,mengisikan
ngitem,menghitam
ngk,enggak
ngkkkkkk,mengakak
ngmg,mengomong
ngmg,bicara
ngmgin,mengomongkan
ngmng,mengomong
ngmng,bicara
ngmngin,mengomongkan
ngmngnya,mengomongnya
ngobrol,mengobrol
ngoceh,mengoceh
ngocok,mengocok
ngocol,lucu
ngolokin,mengolok
ngom,mengomong
ngomen,mengomentari
ngomenin,mengomentari
ngomentarin,mengomentari
ngomentnya,mengomentarinya
ngomng,mengomong
ngomomg,mengomong
ngomong,bicara
ngomong,mengomong
"ngomong""",ngomong ngomong
ngomongin,membicarakan
ngomongin,mengomongkan
ngomongnya,mengomongnya
ngorbanin,mengorbankan
ngp,mengapa
ngrasain,merasai
ngrebut,merebut
ngri,negeri
ngriii,mengiri
ngrti,mengerti
ngrusak,merusak
ngrusin,mengurusi
ngtain,mengatai
ngtif,negatif
ngubek2,mencari cari
nguburin,menguburkan
ngucapin,mengucapkan
ngulangin,mengulangi
ngumbar,mengumbar
ngumbar2,mengumbar umbar
ngumpat2,mengumpat ngumpat
ngumpet,sembunyi
"ngumpet""",mengumpet ngumpet
ngumpul,berkumpul
ngumung,mengomong
ngungkit2,mengungkit ungkit
ngurus,mengurus
ngurusan,mengurusi
ngurusin,mengurusi
ngurusin,mengurus
nh,nih
nha,nya
ni,ini
ni,nih
nice,bagus
nich,nih
nie,ini
nie,nih
niech,nih
nih,ini
nih2,nih nih
nihh,nih
nihhh,nih
nii,ini
niih,nih
niihh,nih
niiih,nih
niiihh,nih
niiiihh,nih
nikaah,nikah
nikahin,menikahi
nikmatin,menikmati
nila,gila
nilai2,nilai nilai
nimbrung,ikut serta
nimpuk,menimpuk
ninggalin,meninggalkan
ninggiin,meninggikan
nipu,tipu
niru,meniru
niyh,nih
niyyyyhhhh,nih
njay,anjay
njayyy,anjay
njerr,anjir
njiirr,anjir
njir,anjir
njirr,anjir
njirrr,anjir
njrittt,anjir
nkah,nikah
nm,nama
nmbah,bertambah
nmbah,menambah
nmbk,menembak
nmenarik,menarik
nmnya,namanya
nmpk,nampak
nmr,nomor
nnt,nanti
nnti,nanti
nntn,menonton
nntn,nonton
nnton,menonton
no,nomor
nobar,menonton bareng
nobar,nonton bareng
nolongin,menolong
nongkrong,kumpul kumpul
nonton,menonton
nontonnnn,menonton
nontonny,menontonnya
nontonx,menontonnya
nontonya,menontonnya
nontoonnn,menonton
nope,tidak
novembr,november
np,now playing
nraktir,mentraktir
nrka,neraka
nrp,narapidana
nt,nanti
ntab,mantab
ntaf,mantap
ntah,entah
ntap,mantap
ntappp,mantap
ntapsss,mantap
ntar,sebentar
ntar,nanti
ntar,entar
nti,nanti
ntik,cantik
ntikk,cantik
ntn,nonton
ntn,menonton
nton,menonton
ntr,entar
nuduh,menuduh
nuhun,terima kasih
nulis,menulis
numpuk,bertumpuk
nunduk,menunduk
nunggu,menunggu
nungguin,menunggu
nuntut,menuntut
nusuk,menusuk
"nutup""in",menutup nutupi
nutupin,menutupi
ny,nya
nyaa,nya
nyaaa,nya
nyaaaa,nya
nyaaaaaaa,nya
nyaaaaaaaaa,nya
nyaaaaaaaaaaaaa,nya
nyadar,menyadari
nyadar,menyadar
nyadar,sadar
nyah,nya
nyaingin,saing
nyakitin,menyakiti
nyalahin,menyalahkan
nyalahin,salah
nyamain,menyamakan
nyambet,menyambat
nyambung,menyambung
nyambungin,menyambung
nyampah,membuat sampah
nyampah,menyampah
nyampe,sampai
nyampein,menyampaikan
nyampenya,sampainya
nyang,yang
nyangka,menyangka
nyangkaa,menyangka
nyangkutnya,menyangkutnya
nyanyiin,menyanyikan
nyanyiin,nyanyikan
nyanyiin,menyanyi
nyaranin,menyarani
nyaranin,menyarankan
nyari,mencari
nyariin,mencari
nyaru,menyaru
nyasar,tersesat
nyatakan,menyatakan
nyatok,mencatok
nyebelin,menyebalkan
nyebur,mencebur
nyebut2,menyebut nyebut
nyebutin,menyebutkan
nyekar,menyekar
nyela,mencela
nyela,cela
nyelesain,menyelesaikan
nyembah,sembah
nyemot,ambil
nyempetin,menyempatkan
nyender,menyandar
nyenengin,menyenangkan
nyengir,menyengir
nyeniii,menyeni
nyeplak,menjiplak
nyerang,menyerang
nyerang,serang
nyerocooooos,mencerocos
nyerocos,mencerocos
nyesek,menyesak
nyesel,menyesal
nyesell,menyesal
nyet,monyet
nyia2in,menyia nyiakan
nyiapin,mempersiapkan
nyicil,mencicil
nyimak,menyimak
nyimpen,menyimpan
nyindir,menyindir
nyindirin,menyindir
nyinyirin,nyinyir
nyir2,nyinyir
nyiram,menyiram
nyo,nya
nyoba,mencoba
nyobain,mencoba
nyoblos,mencoblos
nyok,yuk
nyok,ayo
nyokap,ibu
nyolong,mencolong
nyolot,menyolot
nyolotinnnn,menyolot
nyta,nyata
nyubit,mencubit
nyubitt,mencubit
nyupir,menyopir
nyusahhin,menyusahkan
nyusahin,menyusahkan
nyusul,menyusul
o/,oleh
oalaaaa,walah
ogah,tidak mau
ohh,oh
ohhhh,oh
ok,ok
okt,oktober
ol,online
oles2,oles oles
oma2,oma oma
omaaaaaaakk,oma
omdo,omong doang
omongin,mengomongkan
omongin,omongkan
omonomon,omong
ongkiir,ongkir
ongkir,ongkos kirim
ongkirr,ongkir
ono,sono
onoh,sono
ooh,oh
oom,om
oon,bodoh
oooh,oh
oot,out of topic
oplas,operasi plastik
oprasi,operasi
oprasiya,operasinya
or,orang
orabg,orang
"orang""",orang orang
"orang""nya",orang orangnya
orang2,orang orang
orange,oranye
orangg,orang
org,orang
org2,orang orang
orgny,orangnya
orgtuanya,orang tuanya
ori,orisinal
orkes,olahraga dan kesehatan
orlaen,orang lain
orng,orang
orrunya,orang tuanya
ortu,orang tua
ortuny,orang tuanya
ortunya,orang tuanya
ospek,orientasi studi dan pengenalan kampus
otda,otonomi daerah
otot2,otot otot
otre,ok
otw,"on the way, sedang di jalan"
our,kami
owalaah,walah
owh,oh
pa,apa
pa2,apa apa
paaak,pak
paati,pasti
pacal,pacar
pacara,pacaran
pacarane,pacarannya
pacaranya,pacarannya
pacarn,pacaran
pacarnyaa,pacarnya
pacarr,pacar
pacarrr,pacar
padahall,padahal
padahl,padahal
padet,padat
padetan,padatan
padhe,pakde
padhl,padahal
pahalax,pahalanya
pahamin,memahami
pahamin,pahami
pahe,paket hemat
pait,pahit
pake,pakai
pakek,pakai
pakke,pakai
paksain,memaksa
paksain,memaksakan
pala,kepala
palgi,apalagi
palinf,paling
palingann,palingan
pan,kapan
pandanginya,memandanginya
panggilan'y,panggilannya
panggilan'ya,panggilannya
panglingg,pangling
panja,panitia kerja
pankapan,kapan kapan
pans,fan
pansus,panitia khusus
pantes,pantas
pantess,pantas
pantura,pantai utara
papahhhnya,papahnya
papiii,papi
para2,parah parah
paraa,para
paraaah,parah
paraah,parah
parahh,parah
paranoid,takut
paripurnahh,paripurna
parno,takut
parpol,partai politik
parsis,persis
parte,partai
pas2an,pas pasan
pasangn,pasangan
"pasien""nya",pasien pasiennya
pass,pas
passs,pas
past,pasti
pastii,pasti
pasutri,pasangan suami istri
patas,cepat dan terbatas
payahh,payah
pcar,pacar
pcaran,pacaran
pcaranya,pacarannya
pcarny,pacarnya
pcran,pacaran
pcrn,pacaran
pcrnya,pacarnya
pd,pada
pd,percaya diri
pda,pada
pdahal,padahal
pdhal,padahal
pdhall,padahal
pdhl,padahal
pdng,padang
pea,bodoh
pecahhg,pecah
pede,percaya diri
pedes,pedas
pedesssss,pedas
peduliin,mempedulikan
pedulilaaaah,pedulilah
peen,pengin
peengn,pengin
pegang2,pegang pegang
pegangin,memegang
pelastik,plastik
pelatda,pemusatan latihan daerah
pelatnas,pemusatan latihan nasional
peleotin,meleot
peliharaaaa,pelihara
pelwak,pelawak
pemainy,pemainnya
pembokat,pembantu
pemda,pemerintah daerah
pemilu,pemilihan umum
pemkot,pemerintah kota
pemprov,pemerintah provinsi
pemred,pemimpin redaksi
pen,pengin
